TransactionID,DateTime,EventType,TicketPrice,QuantitySold,CustomerID,CustomerAge,CustomerGender,CustomerLocation
1ca5134e-e036-457b-9dc1-23cc21e457f7,2024-10-30 09:44:45,Theater,164.59,9,7b57cee4-27f2-416b-b1ad-71d3f0ab2c86,36,Female,Houston
8cd961d5-d928-4f00-ac86-da3b74b71b14,2024-02-01 02:21:50,Concert,171.03,7,3d194df2-81b4-42af-a443-e958012ea5ba,54,Male,Houston
402c3eeb-25e7-4fb2-a043-111a3b6ce394,2024-02-06 18:16:34,Concert,20.42,3,ca2e12fd-0ba0-4b4f-a94a-f8489513ae0d,40,Male,Chicago
6b32434c-6d8c-48d2-9538-ded401355728,2024-03-04 09:48:31,Concert,61.91,6,4ebfcaad-a411-461b-aa33-545ec70b2f4e,67,Male,Houston
583df6a5-0e61-4a35-befb-f5c4c9b8800c,2024-08-25 12:05:19,Concert,63.83,9,eb898cf3-e164-47fd-b3d8-2cf46e04b5ec,24,Male,Los Angeles
fd49736e-17dc-4c09-9c6a-8c3cd3073680,2024-05-22 04:30:48,Concert,22.06,5,aa3567b9-4348-4fe6-b37a-09fab2287e88,67,Male,Chicago
0fac080d-abf7-4660-90f4-4f3f2472ac70,2024-12-13 16:08:09,Theater,32.74,4,face5134-2e7f-4cfc-9201-c607cf9a0433,52,Male,Phoenix
292c523c-80e2-44c6-ba2c-48b52924d616,2024-04-07 08:51:19,Theater,152.66,9,d5b4274f-a342-462b-9fce-ffc9a6581dc6,37,Female,New York
4b609a22-293a-4499-bb45-85d605658628,2024-12-12 02:10:30,Theater,149.94,5,bd9d9c48-68fd-46b7-9978-5d9ac3d27fe7,34,Male,Phoenix
4544e3a9-43ba-4b5e-a352-3b5451e146c6,2024-12-26 09:19:18,Concert,36.07,9,ccb0c0b2-b0e5-4cb4-886d-ac0c5ad0f518,62,Male,New York
bbfff6fe-3917-4515-b391-fc05f9ef59e2,2024-12-07 07:10:52,Sports,157.21,3,54a54174-db23-45ed-ab98-73ea5ee7259c,35,Male,Phoenix
fd049f0f-fe3c-4ca2-a264-ba17e3acfce2,2024-11-25 06:06:04,Theater,59.49,1,f40eecbb-35d9-452a-9b5d-9c96cba1c911,28,Female,Los Angeles
05c22f65-bb5f-44cf-9416-462bd2d53fb5,2024-02-12 05:44:59,Theater,41.92,4,aaab6417-ca57-4e2e-9d21-886b83e49b68,52,Female,New York
2db6fc22-4e92-4b36-81ce-4212f5fe2dbc,2024-10-30 15:07:39,Theater,159.66,5,c0cd90c1-e981-4647-9716-e60462a5460d,59,Male,New York
841ba4b5-e9a1-490a-9ab7-5fc1ce682ae9,2024-10-04 07:32:54,Sports,174.57,9,a067615d-e5a5-4912-ba2c-88c71cd5ebf8,68,Female,Chicago
a422107f-b0d4-4d16-b507-b0b4f0a28f11,2024-05-13 02:26:30,Theater,184.7,6,13214241-b105-4aa6-9ca1-e552399e3e7b,48,Male,Chicago
a652560d-dbeb-4c6a-99b3-2c4863505084,2024-05-15 21:40:58,Theater,20.94,7,a2e3651a-55e3-49b0-8d05-726c5d71c77c,51,Female,Los Angeles
b77130f6-e009-4f03-a201-e93983217f2c,2024-05-24 12:43:11,Sports,192.36,6,baf8e5bf-b8d8-4c57-8c19-256e5cc636ab,18,Female,Los Angeles
18541f14-2cb3-44b8-9074-3eaf1d381ec0,2024-08-18 03:18:58,Concert,49.42,2,84645b48-22ea-4410-ad9c-dddb8ce38297,50,Male,Houston
